longitude,latitude,value
5.2500,62.2500,7.3584
5.4167,62.2500,7.3473
5.5833,62.2500,7.3339
0.7500,62.1500,8.0410
0.9167,62.1500,8.1138
1.0833,62.1500,8.1810
1.2500,62.1500,8.2413
1.4167,62.1500,8.2925
1.5833,62.1500,8.3329
1.7500,62.1500,8.3593
1.9167,62.1500,8.3684
2.0833,62.1500,8.3571
2.2500,62.1500,8.3240
2.4167,62.1500,8.2698
2.5833,62.1500,8.1972
2.7500,62.1500,8.1096
2.9167,62.1500,8.0104
3.0833,62.1500,7.9034
3.2500,62.1500,7.7943
3.4167,62.1500,7.6881
3.5833,62.1500,7.5891
3.7500,62.1500,7.5016
3.9167,62.1500,7.4349
4.0833,62.1500,7.3842
4.2500,62.1500,7.3490
4.4167,62.1500,7.3263
4.5833,62.1500,7.3140
4.7500,62.1500,7.3108
4.9167,62.1500,7.3144
5.0833,62.1500,7.3199
5.4167,62.1500,7.3202
0.0833,62.0500,7.8348
0.2500,62.0500,7.9015
0.4167,62.0500,7.9677
0.5833,62.0500,8.0332
0.7500,62.0500,8.0978
0.9167,62.0500,8.1592
1.0833,62.0500,8.2159
1.2500,62.0500,8.2665
1.4167,62.0500,8.3092
1.5833,62.0500,8.3419
1.7500,62.0500,8.3615
1.9167,62.0500,8.3641
2.0833,62.0500,8.3467
2.2500,62.0500,8.3075
2.4167,62.0500,8.2470
2.5833,62.0500,8.1677
2.7500,62.0500,8.0729
2.9167,62.0500,7.9665
3.0833,62.0500,7.8528
3.2500,62.0500,7.7377
3.4167,62.0500,7.6264
3.5833,62.0500,7.5233
3.7500,62.0500,7.4330
3.9167,62.0500,7.3645
4.0833,62.0500,7.3143
4.2500,62.0500,7.2804
4.4167,62.0500,7.2589
4.5833,62.0500,7.2493
4.7500,62.0500,7.2492
4.9167,62.0500,7.2565
5.0833,62.0500,7.2671
-0.5833,61.9500,7.6958
-0.4167,61.9500,7.7582
-0.2500,61.9500,7.8180
-0.0833,61.9500,7.8750
0.0833,61.9500,7.9300
0.2500,61.9500,7.9839
0.4167,61.9500,8.0374
0.5833,61.9500,8.0905
0.7500,61.9500,8.1430
0.9167,61.9500,8.1932
1.0833,61.9500,8.2398
1.2500,61.9500,8.2813
1.4167,61.9500,8.3158
1.5833,61.9500,8.3413
1.7500,61.9500,8.3541
1.9167,61.9500,8.3502
2.0833,61.9500,8.3266
2.2500,61.9500,8.2815
2.4167,61.9500,8.2151
2.5833,61.9500,8.1298
2.7500,61.9500,8.0287
2.9167,61.9500,7.9165
3.0833,61.9500,7.7977
3.2500,61.9500,7.6783
3.4167,61.9500,7.5639
3.5833,61.9500,7.4589
3.7500,61.9500,7.3673
3.9167,61.9500,7.2981
4.0833,61.9500,7.2485
4.2500,61.9500,7.2152
4.4167,61.9500,7.1941
4.5833,61.9500,7.1857
4.7500,61.9500,7.1867
4.9167,61.9500,7.1954
-0.9167,61.8500,7.7181
-0.7500,61.8500,7.7742
-0.5833,61.8500,7.8280
-0.4167,61.8500,7.8788
-0.2500,61.8500,7.9264
-0.0833,61.8500,7.9710
0.0833,61.8500,8.0134
0.2500,61.8500,8.0546
0.4167,61.8500,8.0959
0.5833,61.8500,8.1370
0.7500,61.8500,8.1780
0.9167,61.8500,8.2177
1.0833,61.8500,8.2548
1.2500,61.8500,8.2878
1.4167,61.8500,8.3144
1.5833,61.8500,8.3330
1.7500,61.8500,8.3390
1.9167,61.8500,8.3286
2.0833,61.8500,8.2988
2.2500,61.8500,8.2482
2.4167,61.8500,8.1765
2.5833,61.8500,8.0862
2.7500,61.8500,7.9801
2.9167,61.8500,7.8637
3.0833,61.8500,7.7418
3.2500,61.8500,7.6205
3.4167,61.8500,7.5048
3.5833,61.8500,7.3993
3.7500,61.8500,7.3080
3.9167,61.8500,7.2383
4.0833,61.8500,7.1891
4.2500,61.8500,7.1556
4.4167,61.8500,7.1335
4.5833,61.8500,7.1242
-1.0833,61.7500,7.8061
-0.9167,61.7500,7.8563
-0.7500,61.7500,7.9031
-0.5833,61.7500,7.9467
-0.4167,61.7500,7.9862
-0.2500,61.7500,8.0220
-0.0833,61.7500,8.0548
0.0833,61.7500,8.0852
0.2500,61.7500,8.1147
0.4167,61.7500,8.1443
0.5833,61.7500,8.1742
0.7500,61.7500,8.2045
0.9167,61.7500,8.2345
1.0833,61.7500,8.2628
1.2500,61.7500,8.2877
1.4167,61.7500,8.3068
1.5833,61.7500,8.3184
1.7500,61.7500,8.3177
1.9167,61.7500,8.3009
2.0833,61.7500,8.2654
2.2500,61.7500,8.2099
2.4167,61.7500,8.1340
2.5833,61.7500,8.0400
2.7500,61.7500,7.9306
2.9167,61.7500,7.8120
3.0833,61.7500,7.6890
3.2500,61.7500,7.5674
3.4167,61.7500,7.4521
3.5833,61.7500,7.3476
3.7500,61.7500,7.2574
3.9167,61.7500,7.1875
4.0833,61.7500,7.1383
4.2500,61.7500,7.1038
4.4167,61.7500,7.0798
4.5833,61.7500,7.0678
-1.0833,61.6500,7.9363
-0.9167,61.6500,7.9782
-0.7500,61.6500,8.0159
-0.5833,61.6500,8.0495
-0.4167,61.6500,8.0783
-0.2500,61.6500,8.1033
-0.0833,61.6500,8.1254
0.0833,61.6500,8.1452
0.2500,61.6500,8.1642
0.4167,61.6500,8.1836
0.5833,61.6500,8.2034
0.7500,61.6500,8.2240
0.9167,61.6500,8.2453
1.0833,61.6500,8.2656
1.2500,61.6500,8.2830
1.4167,61.6500,8.2951
1.5833,61.6500,8.2997
1.7500,61.6500,8.2925
1.9167,61.6500,8.2694
2.0833,61.6500,8.2284
2.2500,61.6500,8.1688
2.4167,61.6500,8.0895
2.5833,61.6500,7.9929
2.7500,61.6500,7.8818
2.9167,61.6500,7.7624
3.0833,61.6500,7.6399
3.2500,61.6500,7.5194
3.4167,61.6500,7.4058
3.5833,61.6500,7.3033
3.7500,61.6500,7.2148
3.9167,61.6500,7.1449
4.0833,61.6500,7.0942
4.2500,61.6500,7.0580
4.4167,61.6500,7.0311
4.5833,61.6500,7.0147
-1.2500,61.5500,8.0094
-1.0833,61.5500,8.0482
-0.9167,61.5500,8.0818
-0.7500,61.5500,8.1108
-0.5833,61.5500,8.1352
-0.4167,61.5500,8.1545
-0.2500,61.5500,8.1700
-0.0833,61.5500,8.1828
0.0833,61.5500,8.1934
0.2500,61.5500,8.2035
0.4167,61.5500,8.2141
0.5833,61.5500,8.2251
0.7500,61.5500,8.2374
0.9167,61.5500,8.2512
1.0833,61.5500,8.2645
1.2500,61.5500,8.2752
1.4167,61.5500,8.2807
1.5833,61.5500,8.2790
1.7500,61.5500,8.2655
1.9167,61.5500,8.2367
2.0833,61.5500,8.1907
2.2500,61.5500,8.1275
2.4167,61.5500,8.0458
2.5833,61.5500,7.9478
2.7500,61.5500,7.8362
2.9167,61.5500,7.7176
3.0833,61.5500,7.5967
3.2500,61.5500,7.4784
3.4167,61.5500,7.3672
3.5833,61.5500,7.2671
3.7500,61.5500,7.1805
3.9167,61.5500,7.1105
4.0833,61.5500,7.0579
4.2500,61.5500,7.0194
4.4167,61.5500,6.9903
4.5833,61.5500,6.9694
4.7500,61.5500,6.9526
-1.4167,61.4500,8.0737
-1.2500,61.4500,8.1079
-1.0833,61.4500,8.1389
-0.9167,61.4500,8.1644
-0.7500,61.4500,8.1854
-0.5833,61.4500,8.2019
-0.4167,61.4500,8.2131
-0.2500,61.4500,8.2208
-0.0833,61.4500,8.2260
0.0833,61.4500,8.2293
0.2500,61.4500,8.2322
0.4167,61.4500,8.2357
0.5833,61.4500,8.2398
0.7500,61.4500,8.2454
0.9167,61.4500,8.2529
1.0833,61.4500,8.2601
1.2500,61.4500,8.2650
1.4167,61.4500,8.2647
1.5833,61.4500,8.2572
1.7500,61.4500,8.2381
1.9167,61.4500,8.2042
2.0833,61.4500,8.1538
2.2500,61.4500,8.0875
2.4167,61.4500,8.0040
2.5833,61.4500,7.9055
2.7500,61.4500,7.7945
2.9167,61.4500,7.6776
3.0833,61.4500,7.5591
3.2500,61.4500,7.4436
3.4167,61.4500,7.3354
3.5833,61.4500,7.2382
